"","Area","Code","Year","Stock"
"1278","French Guiana","254",1995,70131
"1279","French Guiana","254",2000,76649
"1280","French Guiana","254",2005,86468
"1281","French Guiana","254",2010,96288
"1282","French Guiana","254",2015,106108
"1283","French Guiana","254",2019,117372
"1284","Guyana","328",1990,4095
"1285","Guyana","328",1995,6352
"1286","Guyana","328",2000,8610
"1287","Guyana","328",2005,10868
"1288","Guyana","328",2010,13126
"1289","Guyana","328",2015,15384
"1290","Guyana","328",2019,15699
"1291","Paraguay","600",1990,195884
"1292","Paraguay","600",1995,186570
"1293","Paraguay","600",2000,176608
"1294","Paraguay","600",2005,168243
"1295","Paraguay","600",2010,160299
"1296","Paraguay","600",2015,156462
"1297","Paraguay","600",2019,160519
"1298","Peru","604",1990,56688
"1299","Peru","604",1995,56732
"1300","Peru","604",2000,66300
"1301","Peru","604",2005,77877
"1302","Peru","604",2010,104706
"1303","Peru","604",2015,154774
"1304","Peru","604",2019,782169
"1305","Suriname","740",1990,18083
"1306","Suriname","740",1995,22320
"1307","Suriname","740",2000,27506
"1308","Suriname","740",2005,33664
"1309","Suriname","740",2010,39713
"1310","Suriname","740",2015,43127
"1311","Suriname","740",2019,46157
"1312","Uruguay","858",1990,98116
"1313","Uruguay","858",1995,93428
"1314","Uruguay","858",2000,88874
"1315","Uruguay","858",2005,82317
"1316","Uruguay","858",2010,76303
"1317","Uruguay","858",2015,78799
"1318","Uruguay","858",2019,81482
"1319","Venezuela (Bolivarian Republic of)","862",1990,1025009
"1320","Venezuela (Bolivarian Republic of)","862",1995,1019996
"1321","Venezuela (Bolivarian Republic of)","862",2000,1013738
"1322","Venezuela (Bolivarian Republic of)","862",2005,1076474
"1323","Venezuela (Bolivarian Republic of)","862",2010,1347347
"1324","Venezuela (Bolivarian Republic of)","862",2015,1404448
"1325","Venezuela (Bolivarian Republic of)","862",2019,1375690
"1326","OCEANIA","909",1990,4731848
"1327","OCEANIA","909",1995,5022287
"1328","OCEANIA","909",2000,5361231
"1329","OCEANIA","909",2005,6023412
"1330","OCEANIA","909",2010,7127680
"1331","OCEANIA","909",2015,8069944
"1332","OCEANIA","909",2019,8927925
"1333","Australia / New Zealand","927",1990,4473260
"1334","Australia / New Zealand","927",1995,4741947
"1335","Australia / New Zealand","927",2000,5065063
"1336","Australia / New Zealand","927",2005,5717982
"1337","Australia / New Zealand","927",2010,6830423
"1338","Australia / New Zealand","927",2015,7769466
"1339","Australia / New Zealand","927",2019,8618009
"1340","Australia","36",1990,3955213
"1341","Australia","36",1995,4153330
"1342","Australia","36",2000,4386250
"1343","Australia","36",2005,4878030
"1344","Australia","36",2010,5882980
"1345","Australia","36",2015,6729730
"1346","Australia","36",2019,7549270
"1347","New Zealand","554",1990,518047
"1348","New Zealand","554",1995,588617
"1349","New Zealand","554",2000,678813
"1350","New Zealand","554",2005,839952
"1351","New Zealand","554",2010,947443
"1352","New Zealand","554",2015,1039736
"1353","New Zealand","554",2019,1068739
"1354","Melanesia","928",1990,91200
"1355","Melanesia","928",1995,96828
"1356","Melanesia","928",2000,95281
"1357","Melanesia","928",2005,104017
"1358","Melanesia","928",2010,110685
"1359","Melanesia","928",2015,119344
"1360","Melanesia","928",2019,123564
"1361","Fiji","242",1990,13283
"1362","Fiji","242",1995,13001
"1363","Fiji","242",2000,12719
"1364","Fiji","242",2005,12435
"1365","Fiji","242",2010,13351
"1366","Fiji","242",2015,13751
"1367","Fiji","242",2019,14038
"1368","New Caledonia","540",1990,37673
"1369","New Caledonia","540",1995,43662
"1370","New Caledonia","540",2000,49651
"1371","New Caledonia","540",2005,55405
"1372","New Caledonia","540",2010,61158
"1373","New Caledonia","540",2015,68881
"1374","New Caledonia","540",2019,72537
"1375","Papua New Guinea","598",1990,33710
"1376","Papua New Guinea","598",1995,33526
"1377","Papua New Guinea","598",2000,26304
"1378","Papua New Guinea","598",2005,30106
"1379","Papua New Guinea","598",2010,30425
"1380","Papua New Guinea","598",2015,30940
"1381","Papua New Guinea","598",2019,31212
"1382","Solomon Islands","90",1990,4226
"1383","Solomon Islands","90",1995,4178
"1384","Solomon Islands","90",2000,3981
"1385","Solomon Islands","90",2005,3271
"1386","Solomon Islands","90",2010,2760
"1387","Solomon Islands","90",2015,2585
"1388","Solomon Islands","90",2019,2532
"1389","Vanuatu","548",1990,2308
"1390","Vanuatu","548",1995,2461
"1391","Vanuatu","548",2000,2626
"1392","Vanuatu","548",2005,2800
"1393","Vanuatu","548",2010,2991
"1394","Vanuatu","548",2015,3187
"1395","Vanuatu","548",2019,3245
"1396","Micronesia","954",1990,108969
"1397","Micronesia","954",1995,118687
"1398","Micronesia","954",2000,130186
"1399","Micronesia","954",2005,128390
"1400","Micronesia","954",2010,115020
"1401","Micronesia","954",2015,113523
"1402","Micronesia","954",2019,117978
"1403","Guam","316",1990,69755
"1404","Guam","316",1995,71912
"1405","Guam","316",2000,74070
"1406","Guam","316",2005,74743
"1407","Guam","316",2010,75416
"1408","Guam","316",2015,76089
"1409","Guam","316",2019,79846
"1410","Kiribati","296",1990,2162
"1411","Kiribati","296",1995,2223
"1412","Kiribati","296",2000,2283
"1413","Kiribati","296",2005,2487
"1414","Kiribati","296",2010,2868
"1415","Kiribati","296",2015,2919
"1416","Kiribati","296",2019,3022
"1417","Marshall Islands","584",1990,1158
"1418","Marshall Islands","584",1995,1480
"1419","Marshall Islands","584",2000,1891
"1420","Marshall Islands","584",2005,2417
"1421","Marshall Islands","584",2010,3089
"1422","Marshall Islands","584",2015,3284
"1423","Marshall Islands","584",2019,3296
"1424","Micronesia (Fed. States of)","583",1990,3685
"1425","Micronesia (Fed. States of)","583",1995,3342
"1426","Micronesia (Fed. States of)","583",2000,3116
"1427","Micronesia (Fed. States of)","583",2005,2905
"1428","Micronesia (Fed. States of)","583",2010,2806
"1429","Micronesia (Fed. States of)","583",2015,2756
"1430","Micronesia (Fed. States of)","583",2019,2819
"1431","Nauru","520",1990,2815
"1432","Nauru","520",1995,2605
"1433","Nauru","520",2000,2394
"1434","Nauru","520",2005,2253
"1435","Nauru","520",2010,1183
"1436","Nauru","520",2015,1890
"1437","Nauru","520",2019,2114
"1438","Northern Mariana Islands","580",1990,26593
"1439","Northern Mariana Islands","580",1995,32376
"1440","Northern Mariana Islands","580",2000,40122
"1441","Northern Mariana Islands","580",2005,37542
"1442","Northern Mariana Islands","580",2010,24168
"1443","Northern Mariana Islands","580",2015,21648
"1444","Northern Mariana Islands","580",2019,21815
"1445","Palau","585",1990,2801
"1446","Palau","585",1995,4749
"1447","Palau","585",2000,6310
"1448","Palau","585",2005,6043
"1449","Palau","585",2010,5490
"1450","Palau","585",2015,4937
"1451","Palau","585",2019,5066
"1452","Polynesia","957",1990,58419
"1453","Polynesia","957",1995,64825
"1454","Polynesia","957",2000,70701
"1455","Polynesia","957",2005,73023
"1456","Polynesia","957",2010,71552
"1457","Polynesia","957",2015,67611
"1458","Polynesia","957",2019,68374
"1459","American Samoa","16",1990,21283
"1460","American Samoa","16",1995,23098
"1461","American Samoa","16",2000,24912
"1462","American Samoa","16",2005,24233
"1463","American Samoa","16",2010,23555
"1464","American Samoa","16",2015,23513
"1465","American Samoa","16",2019,23539
"1466","Cook Islands","184",1990,2587
"1467","Cook Islands","184",1995,2686
"1468","Cook Islands","184",2000,2785
"1469","Cook Islands","184",2005,3277
"1470","Cook Islands","184",2010,3769
"1471","Cook Islands","184",2015,3477
"1472","Cook Islands","184",2019,3491
"1473","French Polynesia","258",1990,25830
"1474","French Polynesia","258",1995,28360
"1475","French Polynesia","258",2000,30329
"1476","French Polynesia","258",2005,32286
"1477","French Polynesia","258",2010,31640
"1478","French Polynesia","258",2015,30058
"1479","French Polynesia","258",2019,31205
"1480","Niue","570",1990,461
"1481","Niue","570",1995,480
"1482","Niue","570",2000,498
"1483","Niue","570",2005,522
"1484","Niue","570",2010,589
"1485","Niue","570",2015,588
"1486","Niue","570",2019,588
"1487","Samoa","882",1990,3357
"1488","Samoa","882",1995,4694
"1489","Samoa","882",2000,5998
"1490","Samoa","882",2005,5746
"1491","Samoa","882",2010,5122
"1492","Samoa","882",2015,4252
"1493","Samoa","882",2019,4035
"1494","Tokelau","772",1990,270
"1495","Tokelau","772",1995,266
"1496","Tokelau","772",2000,262
"1497","Tokelau","772",2005,258
"1498","Tokelau","772",2010,429
"1499","Tokelau","772",2015,487
"1500","Tokelau","772",2019,504
"1501","Tonga","776",1990,2911
"1502","Tonga","776",1995,3274
"1503","Tonga","776",2000,3684
"1504","Tonga","776",2005,4301
"1505","Tonga","776",2010,4604
"1506","Tonga","776",2015,3954
"1507","Tonga","776",2019,3752
"1508","Tuvalu","798",1990,318
"1509","Tuvalu","798",1995,263
"1510","Tuvalu","798",2000,218
"1511","Tuvalu","798",2005,209
"1512","Tuvalu","798",2010,220
"1513","Tuvalu","798",2015,230
"1514","Tuvalu","798",2019,238
"1515","Wallis and Futuna Islands","876",1990,1402
"1516","Wallis and Futuna Islands","876",1995,1704
"1517","Wallis and Futuna Islands","876",2000,2015
"1518","Wallis and Futuna Islands","876",2005,2191
"1519","Wallis and Futuna Islands","876",2010,1624
"1520","Wallis and Futuna Islands","876",2015,1052
"1521","Wallis and Futuna Islands","876",2019,1022
"1522","EUROPE AND NORTHERN AMERICA","1829",1990,77218639
"1523","EUROPE AND NORTHERN AMERICA","1829",1995,86830777
"1524","EUROPE AND NORTHERN AMERICA","1829",2000,97210482
"1525","EUROPE AND NORTHERN AMERICA","1829",2005,108958079
"1526","EUROPE AND NORTHERN AMERICA","1829",2010,121648886
"1527","EUROPE AND NORTHERN AMERICA","1829",2015,130641662
"1528","EUROPE AND NORTHERN AMERICA","1829",2019,140952361
"1529","EUROPE","917",1990,49608231
"1530","EUROPE","917",1995,53489829
"1531","EUROPE","917",2000,56858788
"1532","EUROPE","917",2005,63594822
"1533","EUROPE","917",2010,70678025
"1534","EUROPE","917",2015,75008219
"1535","EUROPE","917",2019,82304539
"1536","Eastern Europe","923",1990,21995312
"1537","Eastern Europe","923",1995,21344124
"1538","Eastern Europe","923",2000,20435785
"1539","Eastern Europe","923",2005,19744557
"1540","Eastern Europe","923",2010,19110686
"1541","Eastern Europe","923",2015,19841537
"1542","Eastern Europe","923",2019,20278745
"1543","Belarus","112",1990,1248977
"1544","Belarus","112",1995,1186282
"1545","Belarus","112",2000,1123586
"1546","Belarus","112",2005,1106982
"1547","Belarus","112",2010,1090378
"1548","Belarus","112",2015,1082905
"1549","Belarus","112",2019,1069395
"1550","Bulgaria","100",1990,21510
"1551","Bulgaria","100",1995,32435
"1552","Bulgaria","100",2000,43360
"1553","Bulgaria","100",2005,61074
"1554","Bulgaria","100",2010,76287
"1555","Bulgaria","100",2015,123803
"1556","Bulgaria","100",2019,168516
"1557","Czechia","203",1990,110394
"1558","Czechia","203",1995,165592
"1559","Czechia","203",2000,220789
"1560","Czechia","203",2005,322540
"1561","Czechia","203",2010,398493
"1562","Czechia","203",2015,416454
"1563","Czechia","203",2019,512705
"1564","Hungary","348",1990,347510
"1565","Hungary","348",1995,322234
"1566","Hungary","348",2000,296957
"1567","Hungary","348",2005,366787
"1568","Hungary","348",2010,436616
"1569","Hungary","348",2015,475508
"1570","Hungary","348",2019,512043
"1571","Poland","616",1990,1127771
"1572","Poland","616",1995,964725
"1573","Poland","616",2000,825251
"1574","Poland","616",2005,722509
"1575","Poland","616",2010,642417
"1576","Poland","616",2015,619403
"1577","Poland","616",2019,655985
"1578","Republic of Moldova","498",1990,544162
"1579","Republic of Moldova","498",1995,367231
"1580","Republic of Moldova","498",2000,247828
"1581","Republic of Moldova","498",2005,171122
"1582","Republic of Moldova","498",2010,129488
"1583","Republic of Moldova","498",2015,106374
"1584","Republic of Moldova","498",2019,104713
"1585","Romania","642",1990,135825
"1586","Romania","642",1995,135037
"1587","Romania","642",2000,134254
"1588","Romania","642",2005,145162
"1589","Romania","642",2010,177211
"1590","Romania","642",2015,281048
"1591","Romania","642",2019,462552
"1592","Russian Federation","643",1990,11524948
"1593","Russian Federation","643",1995,11928927
"1594","Russian Federation","643",2000,11900297
"1595","Russian Federation","643",2005,11667588
"1596","Russian Federation","643",2010,11194710
"1597","Russian Federation","643",2015,11643276
"1598","Russian Federation","643",2019,11640559
"1599","Slovakia","703",1990,41295
"1600","Slovakia","703",1995,69323
"1601","Slovakia","703",2000,116376
"1602","Slovakia","703",2005,130491
"1603","Slovakia","703",2010,146319
"1604","Slovakia","703",2015,177624
"1605","Slovakia","703",2019,187984
"1606","Ukraine","804",1990,6892920
"1607","Ukraine","804",1995,6172338
"1608","Ukraine","804",2000,5527087
"1609","Ukraine","804",2005,5050302
"1610","Ukraine","804",2010,4818767
"1611","Ukraine","804",2015,4915142
"1612","Ukraine","804",2019,4964293
"1613","Northern Europe","924",1990,6645605
"1614","Northern Europe","924",1995,7194824
"1615","Northern Europe","924",2000,7900973
"1616","Northern Europe","924",2005,9588814
"1617","Northern Europe","924",2010,11344850
"1618","Northern Europe","924",2015,13269401
"1619","Northern Europe","924",2019,15094924
"1620","Channel Islands","830",1990,61660
"1621","Channel Islands","830",1995,60519
"1622","Channel Islands","830",2000,64301
"1623","Channel Islands","830",2005,70941
"1624","Channel Islands","830",2010,77581
"1625","Channel Islands","830",2015,82307
"1626","Channel Islands","830",2019,83833
"1627","Denmark","208",1990,235189
"1628","Denmark","208",1995,303108
"1629","Denmark","208",2000,371026
"1630","Denmark","208",2005,440383
"1631","Denmark","208",2010,500772
"1632","Denmark","208",2015,595876
"1633","Denmark","208",2019,722878
"1634","Estonia","233",1990,381997
"1635","Estonia","233",1995,315755
"1636","Estonia","233",2000,249512
"1637","Estonia","233",2005,233701
"1638","Estonia","233",2010,217890
"1639","Estonia","233",2015,194664
"1640","Estonia","233",2019,190242
"1641","Faroe Islands","234",1990,4285
"1642","Faroe Islands","234",1995,2900
"1643","Faroe Islands","234",2000,3593
"1644","Faroe Islands","234",2005,4583
"1645","Faroe Islands","234",2010,5096
"1646","Faroe Islands","234",2015,5485
"1647","Faroe Islands","234",2019,6454
"1648","Finland","246",1990,63255
"1649","Finland","246",1995,99729
"1650","Finland","246",2000,136203
"1651","Finland","246",2005,192169
"1652","Finland","246",2010,228481
"1653","Finland","246",2015,314856
"1654","Finland","246",2019,383116
"1655","Iceland","352",1990,9584
"1656","Iceland","352",1995,12738
"1657","Iceland","352",2000,15892
"1658","Iceland","352",2005,25492
"1659","Iceland","352",2010,35091
"1660","Iceland","352",2015,39072
"1661","Iceland","352",2019,52404
"1662","Ireland","372",1990,227961
"1663","Ireland","372",1995,226892
"1664","Ireland","372",2000,350552
"1665","Ireland","372",2005,589046
"1666","Ireland","372",2010,730542
"1667","Ireland","372",2015,759256
"1668","Ireland","372",2019,833564
"1669","Isle of Man","833",1990,34769
"1670","Isle of Man","833",1995,36886
"1671","Isle of Man","833",2000,39002
"1672","Isle of Man","833",2005,41475
"1673","Isle of Man","833",2010,43447
"1674","Isle of Man","833",2015,42238
"1675","Isle of Man","833",2019,42864
"1676","Latvia","428",1990,646007
"1677","Latvia","428",1995,538093
"1678","Latvia","428",2000,430178
"1679","Latvia","428",2005,376725
"1680","Latvia","428",2010,313786
"1681","Latvia","428",2015,265418
"1682","Latvia","428",2019,237266
"1683","Lithuania","440",1990,349258
"1684","Lithuania","440",1995,273587
"1685","Lithuania","440",2000,214311
"1686","Lithuania","440",2005,201209
"1687","Lithuania","440",2010,160772
"1688","Lithuania","440",2015,136021
"1689","Lithuania","440",2019,117218
"1690","Norway","578",1990,192587
"1691","Norway","578",1995,233302
"1692","Norway","578",2000,292440
"1693","Norway","578",2005,361144
"1694","Norway","578",2010,526799
"1695","Norway","578",2015,746375
"1696","Norway","578",2019,867765
"1697","Sweden","752",1990,788767
"1698","Sweden","752",1995,936022
"1699","Sweden","752",2000,1003798
"1700","Sweden","752",2005,1125790
"1701","Sweden","752",2010,1384929
"1702","Sweden","752",2015,1676264
"1703","Sweden","752",2019,2005210
"1704","United Kingdom","826",1990,3650286
"1705","United Kingdom","826",1995,4155293
"1706","United Kingdom","826",2000,4730165
"1707","United Kingdom","826",2005,5926156
"1708","United Kingdom","826",2010,7119664
"1709","United Kingdom","826",2015,8411569
"1710","United Kingdom","826",2019,9552110
"1711","Southern Europe","925",1990,4340439
"1712","Southern Europe","925",1995,6230116
"1713","Southern Europe","925",2000,7681653
"1714","Southern Europe","925",2005,12004009
"1715","Southern Europe","925",2010,16206134
"1716","Southern Europe","925",2015,15815447
"1717","Southern Europe","925",2019,16503552
"1718","Albania","8",1990,66013
"1719","Albania","8",1995,71354
"1720","Albania","8",2000,76695
"1721","Albania","8",2005,64739
"1722","Albania","8",2010,52784
"1723","Albania","8",2015,52031
"1724","Albania","8",2019,49160
"1725","Andorra","20",1990,38891
"1726","Andorra","20",1995,44206
"1727","Andorra","20",2000,42147
"1728","Andorra","20",2005,50298
"1729","Andorra","20",2010,52053
"1730","Andorra","20",2015,42264
"1731","Andorra","20",2019,45102
"1732","Bosnia and Herzegovina","70",1990,56000
"1733","Bosnia and Herzegovina","70",1995,69476
"1734","Bosnia and Herzegovina","70",2000,82952
"1735","Bosnia and Herzegovina","70",2005,47272
"1736","Bosnia and Herzegovina","70",2010,38792
"1737","Bosnia and Herzegovina","70",2015,38574
"1738","Bosnia and Herzegovina","70",2019,35735
"1739","Croatia","191",1990,475438
"1740","Croatia","191",1995,674085
"1741","Croatia","191",2000,585298
"1742","Croatia","191",2005,579273
"1743","Croatia","191",2010,573248
"1744","Croatia","191",2015,561093
"1745","Croatia","191",2019,518083
"1746","Gibraltar","292",1990,8709
"1747","Gibraltar","292",1995,8381
"1748","Gibraltar","292",2000,8054
"1749","Gibraltar","292",2005,9211
"1750","Gibraltar","292",2010,10369
"1751","Gibraltar","292",2015,11065
"1752","Gibraltar","292",2019,11172
"1753","Greece","300",1990,618139
"1754","Greece","300",1995,857850
"1755","Greece","300",2000,1111665
"1756","Greece","300",2005,1190707
"1757","Greece","300",2010,1321149
"1758","Greece","300",2015,1242924
"1759","Greece","300",2019,1211382
"1760","Holy See","336",1990,768
"1761","Holy See","336",1995,780
"1762","Holy See","336",2000,785
"1763","Holy See","336",2005,798
"1764","Holy See","336",2010,794
"1765","Holy See","336",2015,803
"1766","Holy See","336",2019,799
"1767","Italy","380",1990,1428219
"1768","Italy","380",1995,1774954
"1769","Italy","380",2000,2121688
"1770","Italy","380",2005,3954790
"1771","Italy","380",2010,5787893
"1772","Italy","380",2015,5805328
"1773","Italy","380",2019,6273722
"1774","Malta","470",1990,15077
"1775","Malta","470",1995,17740
"1776","Malta","470",2000,21521
"1777","Malta","470",2005,24560
"1778","Malta","470",2010,33008
"1779","Malta","470",2015,52642
"1780","Malta","470",2019,84949
"1781","Montenegro","499",2010,78512
"1782","Montenegro","499",2015,71719
"1783","Montenegro","499",2019,70967
"1784","North Macedonia","807",1990,95142
"1785","North Macedonia","807",1995,109343
"1786","North Macedonia","807",2000,125665
"1787","North Macedonia","807",2005,127667
"1788","North Macedonia","807",2010,129701
"1789","North Macedonia","807",2015,130730
"1790","North Macedonia","807",2019,131175
"1791","Portugal","620",1990,435782
"1792","Portugal","620",1995,532822
"1793","Portugal","620",2000,651472
"1794","Portugal","620",2005,771184
"1795","Portugal","620",2010,762825
"1796","Portugal","620",2015,864814
"1797","Portugal","620",2019,888162
"1798","San Marino","674",1990,3310
"1799","San Marino","674",1995,3659
"1800","San Marino","674",2000,4045
"1801","San Marino","674",2005,4218
"1802","San Marino","674",2010,4880
"1803","San Marino","674",2015,5195
"1804","San Marino","674",2019,5507
"1805","Serbia","688",1990,99269
"1806","Serbia","688",1995,870980
"1807","Serbia","688",2000,977873
"1808","Serbia","688",2005,854848
"1809","Serbia","688",2010,826275
"1810","Serbia","688",2015,807441
"1811","Serbia","688",2019,820312
"1812","Slovenia","705",1990,178077
"1813","Slovenia","705",1995,174419
"1814","Slovenia","705",2000,214508
"1815","Slovenia","705",2005,217218
"1816","Slovenia","705",2010,253786
"1817","Slovenia","705",2015,237616
"1818","Slovenia","705",2019,253122
"1819","Spain","724",1990,821605
"1820","Spain","724",1995,1020067
"1821","Spain","724",2000,1657285
"1822","Spain","724",2005,4107226
"1823","Spain","724",2010,6280065
"1824","Spain","724",2015,5891208
"1825","Spain","724",2019,6104203
"1826","Western Europe","926",1990,16626875
"1827","Western Europe","926",1995,18720765
"1828","Western Europe","926",2000,20840377
"1829","Western Europe","926",2005,22257442
"1830","Western Europe","926",2010,24016355
"1831","Western Europe","926",2015,26081834
"1832","Western Europe","926",2019,30427318
"1833","Austria","40",1990,793239
"1834","Austria","40",1995,894893
"1835","Austria","40",2000,996547
"1836","Austria","40",2005,1136270
"1837","Austria","40",2010,1275992
"1838","Austria","40",2015,1492374
"1839","Austria","40",2019,1779857
"1840","Belgium","56",1990,1280583
"1841","Belgium","56",1995,1288003
"1842","Belgium","56",2000,1268368
"1843","Belgium","56",2005,1248733
"1844","Belgium","56",2010,1503806
"1845","Belgium","56",2015,1783488
"1846","Belgium","56",2019,1981919
"1847","France","250",1990,5897267
"1848","France","250",1995,6087993
"1849","France","250",2000,6278718
"1850","France","250",2005,6737600
"1851","France","250",2010,7309986
"1852","France","250",2015,7874172
"1853","France","250",2019,8334875
"1854","Germany","276",1990,5936181
"1855","Germany","276",1995,7464406
"1856","Germany","276",2000,8992631
"1857","Germany","276",2005,9402447
"1858","Germany","276",2010,9812263
"1859","Germany","276",2015,10220418
"1860","Germany","276",2019,13132146
"1861","Liechtenstein","438",1990,10906
"1862","Liechtenstein","438",1995,13311
"1863","Liechtenstein","438",2000,15483
"1864","Liechtenstein","438",2005,18898
"1865","Liechtenstein","438",2010,22342
"1866","Liechtenstein","438",2015,23799
"1867","Liechtenstein","438",2019,25467
"1868","Luxembourg","442",1990,113795
"1869","Luxembourg","442",1995,126106
"1870","Luxembourg","442",2000,139750
"1871","Luxembourg","442",2005,150618
"1872","Luxembourg","442",2010,163142
"1873","Luxembourg","442",2015,248888
"1874","Luxembourg","442",2019,291723
"1875","Monaco","492",1990,20359
"1876","Monaco","492",1995,21060
"1877","Monaco","492",2000,21787
"1878","Monaco","492",2005,21312
"1879","Monaco","492",2010,21132
"1880","Monaco","492",2015,25983
"1881","Monaco","492",2019,26511
"1882","Netherlands","528",1990,1182263
"1883","Netherlands","528",1995,1346164
"1884","Netherlands","528",2000,1556337
"1885","Netherlands","528",2005,1736127
"1886","Netherlands","528",2010,1832510
"1887","Netherlands","528",2015,1996318
"1888","Netherlands","528",2019,2282791
"1889","Switzerland","756",1990,1392282
"1890","Switzerland","756",1995,1478829
"1891","Switzerland","756",2000,1570756
"1892","Switzerland","756",2005,1805437
"1893","Switzerland","756",2010,2075182
"1894","Switzerland","756",2015,2416394
"1895","Switzerland","756",2019,2572029
"1896","NORTHERN AMERICA","918",1990,27610408
"1897","NORTHERN AMERICA","918",1995,33340948
"1898","NORTHERN AMERICA","918",2000,40351694
"1899","NORTHERN AMERICA","918",2005,45363257
"1900","NORTHERN AMERICA","918",2010,50970861
"1901","NORTHERN AMERICA","918",2015,55633443
"1902","NORTHERN AMERICA","918",2019,58647822
"1903","Bermuda","60",1990,15683
"1904","Bermuda","60",1995,16676
"1905","Bermuda","60",2000,17668
"1906","Bermuda","60",2005,18276
"1907","Bermuda","60",2010,18884
"1908","Bermuda","60",2015,19126
"1909","Bermuda","60",2019,19336
"1910","Canada","124",1990,4333318
"1911","Canada","124",1995,4864778
"1912","Canada","124",2000,5511914
"1913","Canada","124",2005,6078985
"1914","Canada","124",2010,6761226
"1915","Canada","124",2015,7428657
"1916","Canada","124",2019,7960657
"1917","Greenland","304",1990,9282
"1918","Greenland","304",1995,7121
"1919","Greenland","304",2000,6601
"1920","Greenland","304",2005,6556
"1921","Greenland","304",2010,6091
"1922","Greenland","304",2015,5797
"1923","Greenland","304",2019,5690
"1924","Saint Pierre and Miquelon","666",1990,1099
"1925","Saint Pierre and Miquelon","666",1995,1320
"1926","Saint Pierre and Miquelon","666",2000,1458
"1927","Saint Pierre and Miquelon","666",2005,1147
"1928","Saint Pierre and Miquelon","666",2010,1017
"1929","Saint Pierre and Miquelon","666",2015,986
"1930","Saint Pierre and Miquelon","666",2019,990
"1931","United States of America","840",1990,23251026
"1932","United States of America","840",1995,28451053
"1933","United States of America","840",2000,34814053
"1934","United States of America","840",2005,39258293
"1935","United States of America","840",2010,44183643
"1936","United States of America","840",2015,48178877
"1937","United States of America","840",2019,50661149
